SA2 code,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
201011001,60026.0,62315.0,63668.0,65491.49999999999,68305.08964275615,68891.98257624032,71851.66083441807,75324.34392811522,79419.93154917279,84277.99177910331
201011002,71895.0,74671.0,77876.0,80540.75,84674.64806029778,85543.86361484094,89934.55543069527,95127.61384869834,101307.14806894577,108710.72767411554
201011003,56067.0,59786.0,60367.0,62204.5,65044.64698635016,65638.61159700209,68635.55401942224,72161.05369617918,76330.96602520869,81293.20115778157
201011004,47676.0,49041.0,50778.0,52104.25,54145.58467926562,54569.84665303896,56707.77821169407,59207.18082335414,62142.940439165635,65609.43426581916
201011005,60009.0,61565.0,63258.0,64569.74999999999,66578.1766708361,66992.3563315018,69076.13759437401,71493.3089740951,74307.7834742775,77598.71426694593
201011006,50741.0,52199.0,54845.0,56467.24999999999,58972.60134412891,59495.9032086408,62135.63050320414,65237.08370969883,68900.37610598016,73253.00019230164
201011007,54314.0,56172.0,59735.0,62094.0,65772.23920649535,66551.46434563381,70493.7487113662,75191.53721127522,80828.7488565078,87646.07004550793
201011008,47545.0,49104.0,50404.0,51615.5,53476.42904084994,53862.033519361496,55803.95837479082,58067.38908021425,60717.02997778921,63833.89332228145
201021009,57510.0,66628.0,61565.0,63414.25,66271.44487888816,66868.63063106366,69881.46621608341,73423.62098929311,77610.533114792,82589.40827117606
201021010,50497.0,51504.0,52233.0,53800.0,56221.01545000287,56727.00781810439,59279.739460484765,62280.795422273346,65827.90398535976,70045.6738512552
201021011,49000.0,50440.0,52044.0,53559.75,55899.59295199735,56388.00549532794,58851.40529154489,61743.7997971649,65157.66654691036,69210.61665772338
201021012,56551.0,57960.0,60424.0,62352.50000000001,65337.57537360983,65963.17206089305,69121.10543139398,72843.86190984209,77257.52763163604,82523.75740148789
201031013,41427.0,43798.0,46335.0,47980.0,50535.10197474911,51073.3359841273,53793.1688651208,57015.92649318859,60858.739259043694,65473.28029762954
201031014,45355.0,48542.0,49835.0,51812.0,54895.1440955152,55548.46625791211,58853.9539008907,62793.91227010367,67523.09453840043,73244.11328174933
201031015,48035.0,50394.0,52792.0,54551.0,57277.41334861343,57849.94879004515,60741.24083964612,64156.511798310916,68214.72417742592,73069.00255271608
201031016,42843.0,44231.0,45694.0,47003.5,49024.04153444654,49445.521263006245,51571.038073547235,54065.03538124542,57006.4694677627,60495.61670811541
201031017,40632.0,42490.0,44469.0,45963.5,48280.590020576135,48767.369631894704,51225.80698988117,54130.97428444619,57584.64321665694,61717.91594754004
202011018,55161.0,56944.0,59825.0,61655.0,64483.96740493104,65075.72165658683,68061.64486506708,71574.93975932425,75731.41959133086,80679.0050750761
202011019,45857.0,47779.0,49687.0,51198.50000000001,53534.72072423371,54023.28552211653,56488.40303977746,59388.20577018838,62817.9511865351,66899.24602481542
202011020,55551.0,57894.0,60577.0,62215.5,64739.72776177427,65265.05607419153,67913.01142962914,71012.82413612364,74659.28681228508,78972.20626541748
202011021,53538.0,54870.0,57804.0,59423.5,61920.810521330706,62441.26283936732,65065.39677045398,68141.61345948422,71765.97719680468,76060.25849035133
202011022,48010.0,49833.0,51787.0,53128.75,55193.52012510379,55622.52299625595,57784.20991276665,60310.61979671711,63277.09652912516,66778.53275342974
202011023,56980.0,59251.0,60381.0,61914.25,64272.52554559795,64762.1457065399,67228.89584080114,70109.69135469782,73489.46045599708,77474.9948134615
202011024,62078.0,64329.0,66427.0,67684.75,69607.0969593501,70002.48585031592,71990.65993415761,74290.88124699824,76961.31310745269,80073.53807344694
202011025,51739.0,54304.0,56161.0,57636.74999999999,59908.54271591941,60380.81011810074,62760.76187817768,65543.74099983956,68813.42279562878,72675.31321319031
202021026,57423.0,59455.0,60617.0,62225.25,64701.62853190936,65216.61472762893,67812.04061399023,70848.09618273657,74416.57899756552,78633.32700914252
202021027,48000.0,50841.0,52122.0,53778.5,56342.21835069644,56879.40543886226,59590.94955965987,62786.858933977055,66575.08099790645,71093.96192943265
202021028,48156.0,50249.0,51341.0,53220.0,56141.652675249796,56758.06158066726,59873.94550511576,63571.751446409064,67988.70606649462,73303.0304379192
202021029,46460.0,49637.0,52295.0,54329.25,57499.32199959365,58170.33067601209,61564.5269235791,65605.80267908375,70450.6792202627,76303.67442444827
202021030,56114.0,58009.0,60982.0,63304.49999999999,66920.92864902757,67685.53389379175,71552.24011370086,76150.79183483362,81656.64704759691,88298.57910230593
202021031,68669.0,70793.0,73993.0,76651.0,80781.22227778303,81651.77687949271,86051.45839556231,91267.8039985382,97491.92813399612,104971.58761814408
202031032,50124.0,53186.0,53995.0,55150.5,56920.84177470136,57286.27579268821,59125.17638566306,61260.34725272032,63749.15965633929,66662.82517876544
202031033,43214.0,48536.0,49541.0,51808.75,55366.08512078379,56126.40348052213,59980.20088548834,64613.412158812185,70228.40732976663,77094.22162746453
203011034,59879.0,61746.0,64568.0,66729.75,70080.93875594335,70784.83605501872,74339.67249122405,78539.7040947403,83531.6939947311,89504.63532105433
203011035,54335.0,56477.0,58864.0,60850.74999999999,63931.4587752064,64578.79411966978,67848.24367841335,71712.58823690661,76307.5843929242,81808.18336415927
203011036,54167.0,59172.0,62699.0,65376.5,69564.26006196272,70455.46234421237,74968.5606494476,80371.02387728036,86886.77774108235,94811.26886085111
203021037,51750.0,53674.0,56271.0,57870.75,60338.594866249936,60853.211634055464,63448.24083146391,66492.14413899979,70080.81912304556,74335.97507294068
203021038,46401.0,47323.0,48364.0,49265.75,50643.59478318066,50926.87074213194,52351.17308556044,53998.326829703044,55909.678258797445,58136.060647446764
203021039,63406.0,64680.0,67478.0,68967.75,71251.71008097084,71723.62938100845,74098.85412545162,76859.47308107564,80080.87489507838,83856.8474392114
203021040,60422.0,63102.0,65809.0,68122.25,71714.09446228859,72470.34039680312,76291.44423342664,80816.84344845639,86209.90611786656,92681.97719118705
203021041,53685.0,55567.0,57797.0,59598.75,62385.6259921579,62969.06441438416,65913.53848246597,69380.96800404706,73487.03369268762,78379.73583884975
203021042,64334.0,66089.0,69712.0,71479.25,74197.32661297552,74761.61350242115,77604.5055754248,80924.37624592501,84819.00541583887,89411.32866227564
203021043,60326.0,62036.0,63783.0,65582.25,68357.25736824467,68935.74283609573,71852.6478569754,75273.01816502171,79304.10545976277,84081.9395655198
203021044,53080.0,55093.0,56566.0,57645.25,59295.012297029134,59634.40773963548,61341.09818671504,63316.07461456738,65609.45912161011,68282.9694857401
203021045,47208.0,48159.0,50279.0,51573.5,53565.242946856546,53978.975560838764,56063.61677874801,58499.40943304007,61358.73237651394,64732.69780775286
203021046,79885.0,83648.0,85349.0,87509.0,90830.99744578144,91520.61872247908,94994.9043574699,99051.8520239098,103810.8357343873,109421.9204784234
203021047,55081.0,56636.0,59181.0,60953.74999999999,63692.52833204491,64264.895795930104,67152.45077190809,70546.9119290566,74558.71407835589,79328.64874113038
203031048,56091.0,55036.0,55927.0,57422.5,59725.734987126074,60204.85868412348,62619.69497505916,65445.353147264024,68767.66207348023,72694.99735970148
203031049,54970.0,56809.0,58666.0,60835.0,64208.78843793679,64920.96684854201,68521.35490366306,72796.42064363939,77905.93241357707,84057.59391674693
203031050,62732.0,64215.0,66856.0,68903.25,72068.16067134961,72730.21736903308,76070.91089337089,80001.81897642837,84652.60818518217,90188.90875793628
203031051,49270.0,51822.0,53904.0,55414.49999999999,57743.74093527382,58229.17014655349,60676.7202775188,63545.95194566748,66926.47521686854,70931.88095087925
203031052,56949.0,60224.0,62490.0,64003.50000000001,66328.73517162746,66810.67727763926,69237.89667417567,72067.72147478562,75381.38949140046,79280.67347153381
203031053,64721.0,68034.0,71515.0,73553.0,76697.11691253583,77352.82015353875,80659.36523092625,84538.23874627001,89111.8214438761,94535.46554974043
204011054,45642.0,46205.0,48414.0,50037.0,52553.11262238196,53081.639712393895,55750.852169117636,58904.71532453613,62653.52955120101,67139.35036950119
204011055,43582.0,45870.0,46405.0,47494.5,49167.11904159035,49513.4238117389,51257.14351574352,53287.91304789371,55663.04353079565,58454.16175792625
204011056,55063.0,56871.0,59376.0,61085.49999999999,63723.5775629042,64273.9790172483,67049.75627902038,70307.36675683613,74150.2333195318,78709.7574285542
204011057,47336.0,46772.0,49203.0,50801.49999999999,53277.14775775867,53796.40585598913,56418.000720960736,59511.01931499502,63181.43075826477,67565.31764622997
204011058,50523.0,53483.0,56206.0,58506.0,62097.1770985304,62859.498775895554,66717.89949426796,71325.0383657786,76865.9787155958,83583.795338566
204011059,48148.0,49885.0,51936.0,53457.75,55807.25702005834,56297.81093277943,58772.140697883326,61678.1038519204,65108.95700718727,69183.36370442637
204011060,55077.0,56193.0,58016.0,59116.49999999999,60798.56292014271,61144.547571757525,62884.31525488077,64897.24390961168,67234.27678526427,69958.11826097207
204011061,40517.0,43071.0,45296.0,47186.75,50141.260803244215,50769.1612063509,53947.97804064889,57748.06216227337,62324.29355784299,67880.52653749229
204011062,45806.0,47070.0,49593.0,50978.24999999999,53114.164972249106,53559.24631655864,55803.30130294824,58433.63865462532,61532.249330047576,65203.038111604226
204021063,47384.0,48684.0,50343.0,51657.0,53679.444967522795,54099.770280003126,56217.853175775854,58693.98813367737,61602.33496799698,65036.35064466525
204021064,43965.0,45396.0,46121.0,47170.0,48779.28850198391,49112.126950663995,50787.67457011868,52736.97546728249,55014.107936331064,57686.49693131033
204021065,50130.0,51788.0,53196.0,53971.00000000001,55150.436188811196,55391.47830502104,56601.95641483356,57993.50363875594,59597.48152430665,61451.86461813261
