id,address,suburb,postcode,price,propertyType,bedrooms,bathrooms,parkingSpaces,studies,furnished,latitude,longitude,min_pri_latitude,min_pri_longitude,min_pri_distance,min_pri_duration,min_sec_latitude,min_sec_longitude,min_sec_distance,min_sec_duration,min_other_latitude,min_other_longitude,min_other_distance,min_other_duration
435045151,2109/33 MacKenzie St,Melbourne,3000,560,Apartment,2,1,0,0,N,-37.80768181,144.96683064,-37.80205,144.96951,821.7,102.5,-38.01399,145.17547,38543.1,2267.0,-37.80519,144.95509,1210.6,157.1
435045047,2108/11 Rose Lane,Melbourne,3000,580,Apartment,2,1,0,0,Y,-37.81545214,144.95408105,-37.81271,144.94055,1690.6,247.8,-37.74119,144.94274,9568.0,960.8,-37.81654,144.95615,918.6,138.5
435144851,3210/9-23 Mackenzie Street,Melbourne,3000,450,Apartment,1,1,0,0,N,-37.80753655,144.96732789,-37.80205,144.96951,786.8,97.8,-38.01399,145.17547,38508.1,2262.3,-37.80519,144.95509,1216.7,161.7
435144711,300/668 Bourke Street,Melbourne,3000,550,Apartment,2,2,1,0,N,-37.8166019,144.95420038,-37.82935,144.9535,2350.9,292.6,-37.74119,144.94274,9732.3,968.7,-37.81654,144.95615,602.3,88.4
435044255,2108/11 Rose Lane,Melbourne,3000,600,Apartment,2,1,0,0,Y,-37.81545214,144.95408105,-37.81271,144.94055,1690.6,247.8,-37.74119,144.94274,9568.0,960.8,-37.81654,144.95615,918.6,138.5
435044235,4701/38 Rose Lane,Melbourne,3000,650,Apartment,2,2,1,0,N,-37.81501255,144.95417288,-37.81271,144.94055,1778.6,268.9,-37.74119,144.94274,9656.0,981.9,-37.81654,144.95615,1006.6,159.6
434939691,1404/7 Katherine Place,Melbourne,3000,465,Apartment,1,1,0,0,Y,-37.82042051,144.95649006,-37.82935,144.9535,1846.5,226.9,-37.74119,144.94274,10407.5,1026.2,-37.81654,144.95615,961.5,121.7
435043387,2806/27 Lt Collins Street,Melbourne,3000,500,Apartment,1,1,0,0,N,-37.81275115,144.97255381,-37.80205,144.96951,1430.8,197.3,-38.01399,145.17547,37804.0,2169.2,-37.80784,144.9848,2010.2,268.5
435143123,18/300 King Street,Melbourne,3000,590,Apartment,2,1,0,0,Y,-37.81317958,144.95452919,-37.81271,144.94055,1729.5,247.3,-37.74119,144.94274,9534.4,924.7,-37.81654,144.95615,826.8,114.8
435142791,109/441 Lonsdale Street,Melbourne,3000,360,Apartment,2,1,0,0,Y,-37.81334514,144.95937885,-37.80205,144.96951,2144.1,231.1,-37.74119,144.94274,10027.0,914.2,-37.81654,144.95615,652.7,90.4
