id,address,suburb,postcode,price,propertyType,bedrooms,bathrooms,parkingSpaces,studies,furnished,latitude,longitude,closest_primary_lat,closest_primary_long,closest_secondary_lat,closest_secondary_long,closest_train_lat,closest_train_long,closest_tram_lat,closest_tram_long,closest_bus_lat,closest_bus_long,closest_park_lat,closest_park_long
435045151,2109/33 MacKenzie St,Melbourne,3000,560,Apartment,2,1,0,0,N,-37.80768181,144.9668306,-37.80205,144.96951,-38.01399,145.17547,-37.809939,144.962594,-37.808909,144.966098,-37.808579,144.966311,-37.79768225,144.9686789
435045047,2108/11 Rose Lane,Melbourne,3000,580,Apartment,2,1,0,0,Y,-37.81545214,144.9540811,-37.81271,144.94055,-37.74119,144.94274,-37.817936,144.951411,-37.816846,144.953997,-37.814288,144.955124,-37.81878617,144.9692956
435144851,3210/9-23 Mackenzie Street,Melbourne,3000,450,Apartment,1,1,0,0,N,-37.80753655,144.9673279,-37.80205,144.96951,-38.01399,145.17547,-37.809939,144.962594,-37.808185,144.968537,-37.808579,144.966311,-37.79768225,144.9686789
435144711,300/668 Bourke Street,Melbourne,3000,550,Apartment,2,2,1,0,N,-37.8166019,144.9542004,-37.82935,144.9535,-37.74119,144.94274,-37.817936,144.951411,-37.816846,144.953997,-37.814288,144.955124,-37.81878617,144.9692956
435044255,2108/11 Rose Lane,Melbourne,3000,600,Apartment,2,1,0,0,Y,-37.81545214,144.9540811,-37.81271,144.94055,-37.74119,144.94274,-37.817936,144.951411,-37.816846,144.953997,-37.814288,144.955124,-37.81878617,144.9692956
435044235,4701/38 Rose Lane,Melbourne,3000,650,Apartment,2,2,1,0,N,-37.81501255,144.9541729,-37.81271,144.94055,-37.74119,144.94274,-37.811981,144.955654,-37.815313,144.952381,-37.814288,144.955124,-37.81878617,144.9692956
434939691,1404/7 Katherine Place,Melbourne,3000,465,Apartment,1,1,0,0,Y,-37.82042051,144.9564901,-37.82935,144.9535,-37.74119,144.94274,-37.817936,144.951411,-37.820834,144.955853,-37.819325,144.953509,-37.81878617,144.9692956
435043387,2806/27 Lt Collins Street,Melbourne,3000,500,Apartment,1,1,0,0,N,-37.81275115,144.9725538,-37.80205,144.96951,-38.01399,145.17547,-37.811054,144.972911,-37.813557,144.973285,-37.80972,144.971323,-37.81878617,144.9692956
435143123,18/300 King Street,Melbourne,3000,590,Apartment,2,1,0,0,Y,-37.81317958,144.9545292,-37.81271,144.94055,-37.74119,144.94274,-37.811981,144.955654,-37.81248,144.953732,-37.814288,144.955124,-37.81878617,144.9692956
435142791,109/441 Lonsdale Street,Melbourne,3000,360,Apartment,2,1,0,0,Y,-37.81334514,144.9593789,-37.80205,144.96951,-37.74119,144.94274,-37.811981,144.955654,-37.815122,144.960054,-37.813269,144.959219,-37.81878617,144.9692956
435142691,2401/371 Little Lonsdale Street,Melbourne,3000,500,Apartment,1,1,0,0,N,-37.81181276,144.9610511,-37.80205,144.96951,-37.74119,144.94274,-37.809939,144.962594,-37.811105,144.961778,-37.812636,144.960645,-37.81878617,144.9692956
435142687,3902/220 Spencer Street,Melbourne,3000,650,Apartment,2,2,1,0,Y,-37.81558374,144.9530742,-37.81271,144.94055,-37.74119,144.94274,-37.817936,144.951411,-37.815313,144.952381,-37.814821,144.952077,-37.81878617,144.9692956
