id,address,price,propertyType,bedrooms,bathrooms,parkingSpaces,studies,x,y
432400810,"207/815 Bourke Street, Docklands, Vic 3008",Furnished $480,Apartment,1,1,0,0,-37.81980743,144.94466324
435031927,"207 Clayton Rd, Clayton, Vic 3168",$465 pw/ $2021 pcm,House,3,1,1,0,-37.915618,145.121343
428967062,"44/100 Country Club Drive, Dawesville, WA 6211",$650 Per Week,Apartment,2,2,2,0,-32.61103299,115.62912171
433012238,"2015/255 Ann Street, Brisbane City, Qld 4000",$430 per week,Apartment,1,1,0,0,-27.46678615,153.02608052
435132359,"7/22 Hill Street, Woolooware, NSW 2230",$400 Per Week,Apartment,2,1,1,0,-34.05224888,151.14133387
431127722,"112 South Rd, Brighton East, Vic 3187",$1000 per week,House,4,2,2,0,-37.929734,145.005503
432151118,"Level 24/1 Steam Mill Lane, Haymarket, NSW 2000","$1,950 per week",Apartment,3,2,1,0,-33.87867552,151.20129221
435031915,"32B Creek Place, Park Ridge, Qld 4125",$380 per week,Duplex/Semi-detached,2,1,1,0,-27.70377211,153.09476414
432970846,"14 Joseph Road, Safety Bay, WA 6169",LEASE PENDING,House,3,1,1,0,-32.30417,115.72379
435132403,"61 Jones Street, Wandal, Qld 4700",$430 per week,House,3,1,2,0,-23.36958609,150.48754577
435031899,"610/9 Williamsons Road, Doncaster, Vic 3108",Under Application,Apartment,2,2,1,0,-37.78581209,145.12431895
432033702,"14 Bembridge Street, Carlton, NSW 2218",$625 per week,House,3,1,1,0,-33.97111793,151.1223857
431142646,"4 Landscape Drive, Boronia, Vic 3155",$350 per week,House,2,1,2,0,-37.84570583,145.28743131
435132395,"11/7-11 Terrigal Crescent, Kilsyth, Vic 3137",$530 per week,House,3,2,2,0,-37.796734,145.309312
432400810,"207/815 Bourke Street, Docklands, Vic 3008",Furnished $480,Apartment,1,1,0,0,-37.81980743,144.94466324
435031927,"207 Clayton Rd, Clayton, Vic 3168",$465 pw/ $2021 pcm,House,3,1,1,0,-37.915618,145.121343
428967062,"44/100 Country Club Drive, Dawesville, WA 6211",$650 Per Week,Apartment,2,2,2,0,-32.61103299,115.62912171
433012238,"2015/255 Ann Street, Brisbane City, Qld 4000",$430 per week,Apartment,1,1,0,0,-27.46678615,153.02608052
435132359,"7/22 Hill Street, Woolooware, NSW 2230",$400 Per Week,Apartment,2,1,1,0,-34.05224888,151.14133387
431127722,"112 South Rd, Brighton East, Vic 3187",$1000 per week,House,4,2,2,0,-37.929734,145.005503
432151118,"Level 24/1 Steam Mill Lane, Haymarket, NSW 2000","$1,950 per week",Apartment,3,2,1,0,-33.87867552,151.20129221
435031915,"32B Creek Place, Park Ridge, Qld 4125",$380 per week,Duplex/Semi-detached,2,1,1,0,-27.70377211,153.09476414
432970846,"14 Joseph Road, Safety Bay, WA 6169",LEASE PENDING,House,3,1,1,0,-32.30417,115.72379
435132403,"61 Jones Street, Wandal, Qld 4700",$430 per week,House,3,1,2,0,-23.36958609,150.48754577
435031899,"610/9 Williamsons Road, Doncaster, Vic 3108",Under Application,Apartment,2,2,1,0,-37.78581209,145.12431895
432033702,"14 Bembridge Street, Carlton, NSW 2218",$625 per week,House,3,1,1,0,-33.97111793,151.1223857
431142646,"4 Landscape Drive, Boronia, Vic 3155",$350 per week,House,2,1,2,0,-37.84570583,145.28743131
435132395,"11/7-11 Terrigal Crescent, Kilsyth, Vic 3137",$530 per week,House,3,2,2,0,-37.796734,145.309312
432400810,"207/815 Bourke Street, Docklands, Vic 3008",Furnished $480,Apartment,1,1,0,0,-37.81980743,144.94466324
435132443,"3208/9-23 Mackenzie Street, Melbourne, Vic 3000",$750 per week,Apartment,2,2,1,0,-37.80753655,144.96732789
435031595,"411a Pleasant Street, Ballarat Central, Vic 3350",$400 pw,House,4,1,2,0,-37.5698795,143.83743098
435132107,"1806/673 Latrobe Street, Docklands, Vic 3008",$550 per week,Apartment,2,2,0,0,-37.81476706,144.94770642
435031419,"36 Albert Crescent, St Albans, Vic 3021",$450 per week,House,3,1,3,0,-37.741224,144.796138
435131995,"1/9 Long Street, Elsternwick, Vic 3185",$485.00 per week,House,2,1,0,0,-37.87981129,145.00554719
435030599,"119A Williamstown Road, Seddon, Vic 3011",$495 per week,Townhouse,2,2,1,0,-37.80910512,144.88436839
435030775,"134 Capel Street, North Melbourne, Vic 3051",$550 per week,House,3,1,0,0,-37.80493932,144.95556229
435030527,"25 Market Street, Sydney, NSW 2000",DEPOSIT TAKEN,Apartment,2,2,0,0,-33.87114806,151.20521755
435130887,"31 Terelinck Crescent, Redcliffe, WA 6104",$550,House,4,2,2,0,-31.95127,115.95409
435130759,"9 Melville St, Thornlands, Qld 4164",$600 per week,House,3,2,2,0,-27.57710072,153.27399544
435030007,"S1501/231 Harbour Esplanade, Docklands, Vic 3008",$550 per week,Apartment,2,1,1,0,-37.8131749,144.94316122
435029551,"55/220 Greenhill Road, Eastwood, SA 5063",$490 per week,Apartment,1,1,1,0,-34.94057506,138.6234643
